 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.764705882353	0.850989450401	0.924495056938	0.639150419146	0.662621719837
S1 Pyramidal	1.0	0.88876566536	0.920726869719	0.701695977027	0.733836276968
CA1 Pyramidal	0.943820224719	0.953673031629	0.899831040915	0.822160529293	0.878542217103
Oligodendrocyte	0.936708860759	0.981297293103	0.892554433068	0.817316695238	0.863873543925
Microglia	0.857142857143	0.7756267507	0.921639892009	0.398861079123	0.361407880039
Endothelial	1.0	0.852536979704	0.920478151035	0.547516490933	0.541337350851
Astrocyte	0.958333333333	0.916048082162	0.916936814447	0.597862949855	0.590012431186
Ependymal	0.0	0.225	0.922786253232	0.0541238858891	0.0482082732083
Mural	1.0	0.71	0.921584497436	0.300924571626	0.249347724801
Global Evaluations	0.916797814208	0.794881917007	0.915670334311	0.54217917757	0.54768749088
