 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.903225806452	0.845406774493	0.923738044578	0.636174657812	0.660474650861
S1 Pyramidal	0.975609756098	0.868494608143	0.923190905978	0.694663350754	0.729204725126
CA1 Pyramidal	0.96511627907	0.961363716843	0.895213379015	0.822550880381	0.878641128918
Oligodendrocyte	0.961538461538	0.97880105109	0.892444734605	0.816416402093	0.863770005627
Microglia	0.9	0.770349503438	0.921548382103	0.403761224881	0.370589100052
Endothelial	0.9	0.850674293027	0.920533407917	0.541580381019	0.533902048168
Astrocyte	0.96	0.901201658335	0.916420413842	0.5861348171	0.57700537734
Ependymal	0.0	0.231666666667	0.921419715948	0.0609136467695	0.0539276878093
Mural	0.625	0.729166666667	0.919922532832	0.312162344585	0.2585225808
Global Evaluations	0.916153005464	0.793013882078	0.914936835202	0.541595300599	0.5473374783
