 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.666666666667	0.787999222999	0.922582357732	0.593202211191	0.624784558085
S1 Pyramidal	1.0	0.863726982686	0.916460288139	0.673400504774	0.70970080976
CA1 Pyramidal	0.980198019802	0.960502651439	0.885738631028	0.808724047092	0.868019065607
Oligodendrocyte	0.89156626506	0.985132623983	0.88096556144	0.805648974945	0.854650847866
Microglia	0.928571428571	0.767561327561	0.913954863262	0.388118457739	0.352978863279
Endothelial	0.882352941176	0.844761520169	0.913448476192	0.526555467665	0.519057789748
Astrocyte	0.769230769231	0.906424179685	0.910273227629	0.572084319505	0.561217043372
Ependymal	0.0	0.26	0.915042573379	0.0572968197784	0.0483210730493
Mural	0.333333333333	0.703174603175	0.914067486804	0.275997955336	0.223106413184
Global Evaluations	0.909459016393	0.786587012411	0.908059273956	0.52233652867	0.529092940439
