 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.826086956522	0.84265478276	0.921240389751	0.626280123195	0.649230517835
S1 Pyramidal	0.854545454545	0.854065538096	0.922565916279	0.678226849086	0.71338669835
CA1 Pyramidal	0.909090909091	0.958661762887	0.893500658287	0.817216551731	0.874831252407
Oligodendrocyte	0.930555555556	0.981041194826	0.888820231959	0.812654371594	0.860970819808
Microglia	0.5	0.758484848485	0.919147063589	0.39101474904	0.358164614505
Endothelial	0.954545454545	0.845582961369	0.917586782297	0.534126630252	0.527202862571
Astrocyte	0.904761904762	0.92078030303	0.913869571103	0.592357295279	0.582038859947
Ependymal	1.0	0.34	0.919447777579	0.0677879371383	0.0461026936027
Mural	1.0	0.705631313131	0.91746786786	0.292579604705	0.239517840827
Global Evaluations	0.913819672131	0.800766967176	0.912627362078	0.534693790225	0.539049573317
