 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.923076923077	0.969795302736	0.956860884979	0.804128686823	0.813046922898
S1 Pyramidal	0.978260869565	0.953200556903	0.958701446406	0.833802646005	0.851183235151
CA1 Pyramidal	0.988505747126	0.969460359911	0.952400312101	0.905305846201	0.935100856592
Oligodendrocyte	0.965909090909	0.973887742163	0.951443268369	0.898445370983	0.925756480907
Microglia	0.909090909091	0.940505050505	0.958424542926	0.615156343848	0.582539142396
Endothelial	0.933333333333	0.942857142857	0.958590209036	0.720946725635	0.717052744761
Astrocyte	0.944444444444	0.930353794354	0.959468274899	0.730455705507	0.730593053645
Ependymal	1.0	0.504166666667	0.961383964332	0.199042634854	0.154816017316
Mural	0.75	0.892261904762	0.959273378152	0.509018250338	0.455561631351
Global Evaluations	0.957732240437	0.897387613429	0.957394031245	0.690700245577	0.685072231669
