 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.653846153846	0.773967547397	0.921792835287	0.581029569759	0.614492249133
S1 Pyramidal	0.777777777778	0.834369349754	0.918959765259	0.65895810908	0.697857122277
CA1 Pyramidal	0.96875	0.966504952406	0.88003946693	0.807448379247	0.867265201626
Oligodendrocyte	0.926829268293	0.985580636026	0.878120312376	0.80264837615	0.852696906664
Microglia	0.722222222222	0.76020951271	0.912305557508	0.379678048953	0.344674152582
Endothelial	0.9	0.83149127833	0.91176671284	0.514537693297	0.507779470444
Astrocyte	0.65	0.914823191428	0.906667224706	0.57460952181	0.563700149828
Ependymal	0.25	0.233333333333	0.913388839394	0.0427680032669	0.0367788242788
Mural	0.571428571429	0.777976190476	0.911075156713	0.30524558442	0.240871180637
Global Evaluations	0.90749726776	0.786472887985	0.906012874557	0.518547031776	0.525123917497
