 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.8	0.948165575338	0.931908505008	0.719095587106	0.729299461844
S1 Pyramidal	0.888888888889	0.946525906821	0.931670513577	0.759692920211	0.780647985939
CA1 Pyramidal	0.980198019802	0.961848400974	0.919757425342	0.855073596975	0.901038208428
Oligodendrocyte	0.988764044944	0.972006375704	0.918962854451	0.847821675156	0.88824462524
Microglia	1.0	0.865187590188	0.934981550679	0.490517138217	0.450637973138
Endothelial	0.888888888889	0.911865140793	0.934967175028	0.618503543436	0.608888623005
Astrocyte	0.909090909091	0.843283397889	0.939820543519	0.611499928486	0.617836329839
Ependymal	1.0	0.11	0.940278661459	0.027631870563	0.0344755244755
Mural	0.8	0.58	0.940576197864	0.283828504275	0.255333362928
Global Evaluations	0.93343715847	0.79320915419	0.932547047436	0.579296084936	0.585155788315
