 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.943820224719	0.988764044944	0.948339483395	0.795696637623	0.803652968037
S1 Pyramidal	0.934579439252	0.88785046729	0.961006289308	0.791760314594	0.815450643777
CA1 Pyramidal	0.989864864865	0.972972972973	0.942244224422	0.896325592191	0.930533117932
Oligodendrocyte	0.991525423729	0.978813559322	0.942942942943	0.885587200397	0.914851485149
Microglia	0.961538461538	0.961538461538	0.952054794521	0.582922706997	0.537634408602
Endothelial	0.915254237288	0.881355932203	0.957295373665	0.698823791541	0.707482993197
Astrocyte	0.984126984127	0.936507936508	0.953516090584	0.728973807202	0.732919254658
Ependymal	1.0	0.6	0.954292084727	0.191051265369	0.122448979592
Mural	1.0	0.857142857143	0.954597048808	0.499033014677	0.455696202532
Global Evaluations	0.952328159645	0.89610513688	0.951809814708	0.67446381451	0.668963339275
