 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.882352941176	0.823529411765	0.909424724602	0.584630464627	0.61135371179
S1 Pyramidal	0.927272727273	0.827272727273	0.911616161616	0.631416646356	0.671586715867
CA1 Pyramidal	0.953947368421	0.953947368421	0.874581939799	0.797924287328	0.866965620329
Oligodendrocyte	0.944915254237	0.983050847458	0.872372372372	0.787529056884	0.839059674503
Microglia	0.666666666667	0.666666666667	0.912790697674	0.383886955934	0.386206896552
Endothelial	0.904761904762	0.857142857143	0.903488372093	0.473580336054	0.447204968944
Astrocyte	0.839285714286	0.928571428571	0.899527186761	0.556762853915	0.538860103627
Ependymal	0.375	0.25	0.907158836689	0.0504350048835	0.0430107526882
Mural	0.842105263158	0.631578947368	0.907134767837	0.25318943378	0.212389380531
Global Evaluations	0.90133037694	0.769084472741	0.899788339938	0.502150559973	0.512959758315
