 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.72602739726	0.712328767123	0.920386007238	0.511737962943	0.544502617801
S1 Pyramidal	0.991666666667	0.825	0.915601023018	0.65058282074	0.694736842105
CA1 Pyramidal	0.944636678201	0.961937716263	0.876019575856	0.800772468255	0.864696734059
Oligodendrocyte	0.935849056604	0.996226415094	0.864992150706	0.805012225062	0.858536585366
Microglia	0.833333333333	0.833333333333	0.905963302752	0.409979505001	0.36496350365
Endothelial	0.815789473684	0.815789473684	0.907407407407	0.442237415117	0.41610738255
Astrocyte	0.913793103448	0.844827586207	0.907582938389	0.530624587684	0.52972972973
Ependymal	0.0	0.0	0.908584169454	-0.0236096082325	0.0
Mural	0.833333333333	0.708333333333	0.908883826879	0.320632147303	0.280991735537
Global Evaluations	0.90354767184	0.744197402782	0.901713377967	0.494218835986	0.506029458978
