 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.953488372093	0.941860465116	0.928921568627	0.708327488163	0.72
S1 Pyramidal	0.974789915966	0.90756302521	0.933588761175	0.745189607161	0.774193548387
CA1 Pyramidal	0.993031358885	0.961672473868	0.915447154472	0.849267428297	0.89756097561
Oligodendrocyte	0.95041322314	0.98347107438	0.910606060606	0.842944006737	0.883116883117
Microglia	0.857142857143	0.857142857143	0.932494279176	0.47378499224	0.432432432432
Endothelial	0.891304347826	0.978260869565	0.927570093458	0.616293385531	0.588235294118
Astrocyte	0.885714285714	0.814285714286	0.939903846154	0.6240447682	0.64406779661
Ependymal	0.0	0.0	0.938478747204	-0.0241054849895	0.0
Mural	0.625	0.625	0.935665914221	0.282228174756	0.240963855422
Global Evaluations	0.930155210643	0.785472942174	0.929186269455	0.568663818455	0.575618976188
