 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.976744186047	0.953488372093	0.954656862745	0.788125268287	0.8
S1 Pyramidal	0.935185185185	0.944444444444	0.955919395466	0.81442139193	0.832653061224
CA1 Pyramidal	0.956953642384	0.937086092715	0.963333333333	0.898228576105	0.932454695222
Oligodendrocyte	0.979079497908	0.987447698745	0.942684766214	0.892576430208	0.92007797271
Microglia	0.954545454545	0.954545454545	0.954545454545	0.558466434606	0.506024096386
Endothelial	0.966666666667	0.966666666667	0.953681710214	0.740286985426	0.738853503185
Astrocyte	0.935483870968	0.983870967742	0.952380952381	0.75119253633	0.748466257669
Ependymal	0.8	0.6	0.95652173913	0.196105370126	0.127659574468
Mural	0.833333333333	0.833333333333	0.957013574661	0.469989725324	0.422535211268
Global Evaluations	0.954545454545	0.906764781143	0.954526420966	0.678821413149	0.66985826357
