 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.769230769231	0.758241758242	0.907521578298	0.547438263474	0.587234042553
S1 Pyramidal	0.946902654867	0.858407079646	0.897338403042	0.628599453408	0.666666666667
CA1 Pyramidal	0.982817869416	0.938144329897	0.870703764321	0.775142215097	0.849144634526
Oligodendrocyte	0.904347826087	0.991304347826	0.858630952381	0.772669694195	0.824593128391
Microglia	0.675675675676	0.648648648649	0.90289017341	0.336947993134	0.331034482759
Endothelial	0.977272727273	0.840909090909	0.895104895105	0.455830454506	0.432748538012
Astrocyte	0.846153846154	0.892307692308	0.89247311828	0.547963021643	0.544600938967
Ependymal	0.3	0.3	0.899103139013	0.0685558940887	0.0582524271845
Mural	0.809523809524	0.761904761905	0.895573212259	0.305391314236	0.248062015504
Global Evaluations	0.892461197339	0.776651967709	0.891037692901	0.493170922642	0.504704097174
