 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	1.0	0.915662650602	0.93894993895	0.712580855333	0.727272727273
S1 Pyramidal	0.87610619469	0.964601769912	0.932826362484	0.773934195232	0.792727272727
CA1 Pyramidal	0.996587030717	0.962457337884	0.924466338259	0.863447302068	0.908212560386
Oligodendrocyte	0.971544715447	0.979674796748	0.920731707317	0.856279684162	0.894248608534
Microglia	0.88	0.84	0.939566704675	0.466328603494	0.424242424242
Endothelial	0.981132075472	0.88679245283	0.939929328622	0.624755513863	0.622516556291
Astrocyte	0.925373134328	0.865671641791	0.94251497006	0.658086261514	0.670520231214
Ependymal	0.25	0.25	0.942953020134	0.0769260713855	0.0655737704918
Mural	0.642857142857	0.642857142857	0.941441441441	0.287635456087	0.24
Global Evaluations	0.936807095344	0.811968643625	0.935931090216	0.591108215904	0.593923794573
