 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	1.0	0.961298476059	0.955856623921	0.797465310959	0.806969053026
S1 Pyramidal	0.945945945946	0.948484520541	0.958007719732	0.829872548729	0.847459476436
CA1 Pyramidal	0.980769230769	0.968277228178	0.950898038308	0.902400192447	0.933114864121
Oligodendrocyte	0.925	0.976582634901	0.948660996635	0.896563857742	0.923987358302
Microglia	1.0	0.930238095238	0.957387511836	0.602346506033	0.568549112867
Endothelial	0.95	0.934835858586	0.957909689894	0.714111954717	0.711417543977
Astrocyte	0.761904761905	0.92989892716	0.958290908786	0.726089993667	0.726991504693
Ependymal	0.75	0.526666666667	0.959382481455	0.236742006876	0.192685421995
Mural	0.8	0.889166666667	0.957880472534	0.500273663236	0.446138389452
Global Evaluations	0.956409836066	0.896161008222	0.956030493678	0.68954067049	0.684145858319
