 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.888888888889	0.930490584087	0.936610865105	0.721734537983	0.735429751084
S1 Pyramidal	0.978723404255	0.945740582084	0.934720543963	0.769732272235	0.790737254299
CA1 Pyramidal	1.0	0.963765772635	0.922538232346	0.859221942286	0.903499444668
Oligodendrocyte	0.975903614458	0.970092614131	0.92280819595	0.850442309789	0.889473288931
Microglia	0.8	0.922145354645	0.936425667563	0.522215378012	0.475150939392
Endothelial	0.904761904762	0.925725298094	0.937006596633	0.623715931533	0.609861665023
Astrocyte	0.866666666667	0.868836627141	0.940411914811	0.632236970148	0.635583688657
Ependymal	0.666666666667	0.206666666667	0.942267535286	0.055938266097	0.0515527950311
Mural	0.333333333333	0.629393939394	0.941938194481	0.306847392746	0.271015227713
Global Evaluations	0.935770491803	0.818095270987	0.934969749571	0.593565000092	0.595811561644
