 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.942857142857	0.89034294771	0.919788402583	0.652328265985	0.668837173178
S1 Pyramidal	0.945945945946	0.922971499831	0.916102390954	0.712847161437	0.739780466862
CA1 Pyramidal	0.970873786408	0.944363603683	0.904087131875	0.820085604081	0.877351074935
Oligodendrocyte	0.987654320988	0.964471033484	0.898876600978	0.814170431678	0.86339182284
Microglia	0.8	0.797975357975	0.921243289972	0.420051825608	0.383479199163
Endothelial	0.866666666667	0.857786792409	0.920543621495	0.551054302308	0.543282651306
Astrocyte	0.846153846154	0.899577307196	0.917993858962	0.589897860093	0.583801466187
Ependymal	0.5	0.243333333333	0.922091681428	0.0661703954598	0.0569673969294
Mural	0.75	0.682359307359	0.922155343657	0.27836572726	0.230938601349
Global Evaluations	0.916759562842	0.800353464776	0.915875813545	0.544996841545	0.549758872527
