 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.875	0.835303030303	0.921259851349	0.621046708251	0.645544177285
S1 Pyramidal	0.931818181818	0.85554072551	0.921779261197	0.679391964969	0.714856465451
CA1 Pyramidal	0.977011494253	0.959211010881	0.891804618794	0.814832193093	0.872900854032
Oligodendrocyte	0.944444444444	0.976372095307	0.889362720018	0.809180041564	0.858470420205
Microglia	0.888888888889	0.764294871795	0.918091186328	0.393972474428	0.360608114409
Endothelial	0.916666666667	0.8563153075	0.916984408593	0.539227392163	0.53052064206
Astrocyte	0.833333333333	0.923969204962	0.912655183997	0.592406620016	0.582228612958
Ependymal	0.333333333333	0.273333333333	0.918404116659	0.0701061243387	0.0572967493526
Mural	0.8	0.719523809524	0.916817680105	0.297710159264	0.243931219301
Global Evaluations	0.913136612022	0.795984821013	0.91190655856	0.535319297565	0.540706361673
