 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.0	0.0280832215615	0.621811065816	-0.216802363537	0.0121215252576
S1 Pyramidal	0.228571428571	0.182552467857	0.621939933458	-0.138913882543	0.0951322881686
CA1 Pyramidal	-0.4375	0.998936170213	0.364350914168	0.389804124291	0.590757760927
Oligodendrocyte	0.382716049383	0.501163023111	0.588538212622	0.0791913019023	0.382868077825
Microglia	0.714285714286	0.431626706627	0.569657452598	-0.00387534128514	0.0573794235727
Endothelial	0.608695652174	0.637029516377	0.559953611944	0.0900647293465	0.143065468489
Astrocyte	0.214285714286	0.404512550268	0.574913644903	-0.00561703576144	0.112388451289
Ependymal	0.0	0.025	0.568956271228	-0.0692308738861	0.0015037593985
Mural	0.833333333333	0.435595238095	0.566713245008	0.00300043474826	0.0386425045532
Global Evaluations	0.564371584699	0.404944321568	0.559648261305	0.014180121475	0.159317695498
