 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.5	0.55	0.665429007301	0.180187537952	0.291711229947
S1 Pyramidal	0.0	0.775	0.632520467836	0.272683841159	0.340687531423
CA1 Pyramidal	1.0	0.75	0.652203631609	0.261643203628	0.319578754579
Oligodendrocyte	1.0	0.775	0.627153547571	0.329235513765	0.368309990663
Microglia	0.25	0.466666666667	0.668023220106	0.0913266648379	0.2178642436
Endothelial	-0.5	0.838333333333	0.639768331084	0.309877183936	0.357896270396
Astrocyte	0.5	0.742857142857	0.657730489325	0.223509925956	0.288230625584
Ependymal	2.0	0.375	0.687199738477	0.101240060184	0.223333333333
Mural	0.0	0.513333333333	0.668682083998	0.128073275302	0.244276556777
Global Evaluations	0.654911433172	0.64291005291	0.655412279701	0.21086413408	0.294654281811
