 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	1.0	0.716666666667	0.838592197276	0.429888190642	0.469682539683
S1 Pyramidal	0.5	0.741666666667	0.838395890913	0.46720143095	0.4879004329
CA1 Pyramidal	0.5	0.791666666667	0.842799488841	0.4601206643	0.48380952381
Oligodendrocyte	1.0	0.783333333333	0.826838638097	0.458923010946	0.486251803752
Microglia	1.0	0.866666666667	0.818816738817	0.509657329156	0.518528693529
Endothelial	1.0	0.96	0.821829953672	0.52715574372	0.523226773227
Astrocyte	1.0	0.946666666667	0.823882520988	0.537235276532	0.544076479076
Ependymal	-1.0	0.706666666667	0.859026634439	0.427012592615	0.459444444444
Mural	0.4	0.756666666667	0.841123824053	0.450982032017	0.486507936508
Global Evaluations	0.834299516908	0.807777777778	0.834589543011	0.474241807875	0.495492069659
