 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	15.0	0.3	0.296032422955	-0.201758073705	0.0501002506266
S1 Pyramidal	0.0	0.15	0.309697459179	-0.301644315949	0.0235294117647
CA1 Pyramidal	0.0	0.1	0.315813598167	-0.390273654105	0.0133333333333
Oligodendrocyte	0.333333333333	0.133333333333	0.316069486069	-0.35810096289	0.0197647058824
Microglia	0.0	0.495	0.265789473684	-0.191589564315	0.111886415385
Endothelial	0.8	0.58	0.243841015194	-0.104845503331	0.154732617407
Astrocyte	0.5	0.348333333333	0.27722926863	-0.211617421386	0.0987463757433
Ependymal	1.0	0.208333333333	0.277201204593	-0.295007611044	0.0764281035068
Mural	0.25	0.491666666667	0.263555251766	-0.174417180799	0.128687896211
Global Evaluations	0.284380032206	0.311851851852	0.285025464471	-0.247694920836	0.0752454566511
