 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	1.0	0.608333333333	0.696170911468	0.18872468936	0.287668997669
S1 Pyramidal	1.0	0.711666666667	0.679792590831	0.26797040187	0.326073926074
CA1 Pyramidal	1.0	0.716666666667	0.682183868763	0.242217828207	0.312438438754
Oligodendrocyte	0.8	0.763333333333	0.665012531328	0.314787391525	0.360687417158
Microglia	0.0	0.683333333333	0.688042016807	0.23043641849	0.30966033966
Endothelial	1.0	0.691666666667	0.694492612651	0.227800774244	0.302878787879
Astrocyte	0.666666666667	0.608333333333	0.691130101469	0.223146304207	0.302004662005
Ependymal	1.0	0.509523809524	0.698995215311	0.132878657219	0.237385392385
Mural	0.8	0.741666666667	0.664209618249	0.295939828171	0.34202738438
Global Evaluations	0.684057971014	0.670502645503	0.684447718542	0.235989143699	0.308980593996
