 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	1.0	0.733333333333	0.622881942619	0.220010747167	0.295221967575
S1 Pyramidal	1.0	0.796666666667	0.618098124098	0.247754226286	0.309653092006
CA1 Pyramidal	0.75	0.691666666667	0.63638573707	0.202733507881	0.287778887779
Oligodendrocyte	1.0	0.83	0.612754423939	0.280509452776	0.322371794872
Microglia	1.0	0.616666666667	0.649810147899	0.144780728982	0.241112221112
Endothelial	0.5	0.608333333333	0.645069838628	0.143978514089	0.236815733286
Astrocyte	0.666666666667	0.556666666667	0.646972157006	0.144424876953	0.253263403263
Ependymal	0.0	0.525952380952	0.656771281795	0.106482241911	0.205617715618
Mural	0.0	0.556666666667	0.643742310321	0.129744688539	0.236386946387
Global Evaluations	0.636231884058	0.657328042328	0.63694288482	0.180046553843	0.265357973544
