 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.75	0.541666666667	0.65366997038	0.124506142031	0.249085359085
S1 Pyramidal	0.0	0.515	0.658251499962	0.129475813368	0.242307692308
CA1 Pyramidal	1.0	0.55	0.643622909025	0.178081920745	0.275704295704
Oligodendrocyte	1.0	0.791666666667	0.60603636892	0.261266985917	0.308574481074
Microglia	0.5	0.805	0.619693684144	0.26019275987	0.315857034263
Endothelial	-1.0	0.416666666667	0.663854519757	0.0859804513931	0.205658785659
Astrocyte	1.0	0.546666666667	0.655591630592	0.120357036921	0.229287901641
Ependymal	0.666666666667	0.61	0.653004498769	0.155798344085	0.248418803419
Mural	0.75	0.675	0.624165879887	0.225027855486	0.300320512821
Global Evaluations	0.641867954911	0.605740740741	0.641987884604	0.171187478869	0.263912762886
