 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.5	0.653333333333	0.619943977591	0.155064011647	0.243097033685
S1 Pyramidal	0.0	0.501666666667	0.638774934702	0.0993454639905	0.204733567087
CA1 Pyramidal	0.75	0.6	0.604719006596	0.195000251833	0.273999856353
Oligodendrocyte	1.0	0.776666666667	0.600076479076	0.237650493073	0.302410644911
Microglia	0.5	0.641666666667	0.611455752261	0.190362099612	0.272484646417
Endothelial	0.666666666667	0.59	0.62029236464	0.145335847703	0.247705627706
Astrocyte	0.25	0.616666666667	0.631992253361	0.144157896953	0.248429348429
Ependymal	3.0	0.34	0.659588546465	0.00822803463741	0.150101010101
Mural	0.0	0.548333333333	0.631519075466	0.137737387903	0.235057997558
Global Evaluations	0.624476650564	0.58537037037	0.624262487795	0.145875720817	0.242002192472
