 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	1.0	0.408333333333	0.681945624932	0.0835217840236	0.219062049062
S1 Pyramidal	-2.0	0.751666666667	0.64418263214	0.262401732298	0.314779387279
CA1 Pyramidal	0.6	0.756666666667	0.653332705941	0.260491308046	0.314674769675
Oligodendrocyte	1.0	0.93	0.625113921167	0.339121203045	0.360628815629
Microglia	1.0	0.663333333333	0.662489177489	0.194846713878	0.278210678211
Endothelial	-1	0.508333333333	0.661978860194	0.157448520013	0.260215895216
Astrocyte	0.666666666667	0.45	0.668493299338	0.16016285577	0.258656898657
Ependymal	0.666666666667	0.226666666667	0.699492561003	0.0182050563393	0.165396825397
Mural	0.5	0.783333333333	0.634302604337	0.294641835103	0.347254134754
Global Evaluations	0.658615136876	0.608703703704	0.659036820727	0.196760112057	0.279875494875
