 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.875	0.625	0.609375	0.149403576167	0.263157894737
S1 Pyramidal	-0.125	0.625	0.609375	0.149403576167	0.263157894737
CA1 Pyramidal	0.625	0.5	0.625	0.0805822964025	0.222222222222
Oligodendrocyte	0.875	0.875	0.578125	0.28524743482	0.333333333333
Microglia	0.75	0.625	0.609375	0.149403576167	0.263157894737
Endothelial	0.625	0.375	0.640625	0.0102232602514	0.176470588235
Astrocyte	0.75	0.625	0.609375	0.149403576167	0.263157894737
Ependymal	0.625	0.5	0.625	0.0805822964025	0.222222222222
Mural	1.0	0.75	0.59375	0.217406589137	0.3
Global Evaluations	0.611111111111	0.611111111111	0.611111111111	0.141295131298	0.256319993884
