 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.625	0.75	0.6875	0.286251287038	0.352941176471
S1 Pyramidal	0.875	0.875	0.671875	0.352547546761	0.388888888889
CA1 Pyramidal	0.25	1.0	0.65625	0.418330013267	0.421052631579
Oligodendrocyte	0.875	1.0	0.65625	0.418330013267	0.421052631579
Microglia	0.75	0.625	0.703125	0.21875	0.3125
Endothelial	0.375	1.0	0.65625	0.418330013267	0.421052631579
Astrocyte	0.625	0.5	0.71875	0.149240501449	0.266666666667
Ependymal	0.375	0.25	0.75	0.0	0.153846153846
Mural	0.25	0.25	0.75	0.0	0.153846153846
Global Evaluations	0.694444444444	0.694444444444	0.694444444444	0.25130881945	0.321316326051
