 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.875	0.5	0.5625	0.0395284707521	0.2
S1 Pyramidal	-0.25	0.75	0.53125	0.176776695297	0.272727272727
CA1 Pyramidal	0.0	0.875	0.515625	0.245902961051	0.304347826087
Oligodendrocyte	0.75	0.875	0.515625	0.245902961051	0.304347826087
Microglia	0.625	0.5	0.5625	0.0395284707521	0.2
Endothelial	0.5	0.25	0.59375	-0.100727870503	0.111111111111
Astrocyte	0.375	0.375	0.578125	-0.0298807152334	0.157894736842
Ependymal	0.625	0.375	0.578125	-0.0298807152334	0.157894736842
Mural	0.5	0.5	0.5625	0.0395284707521	0.2
Global Evaluations	0.555555555556	0.555555555556	0.555555555556	0.069630969854	0.212035945522
