 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.875	0.75	0.59375	0.217406589137	0.3
S1 Pyramidal	-0.125	0.75	0.59375	0.217406589137	0.3
CA1 Pyramidal	0.375	0.375	0.640625	0.0102232602514	0.176470588235
Oligodendrocyte	0.875	1.0	0.5625	0.353553390593	0.363636363636
Microglia	0.625	0.625	0.609375	0.149403576167	0.263157894737
Endothelial	0.75	0.5	0.625	0.0805822964025	0.222222222222
Astrocyte	0.625	0.5	0.625	0.0805822964025	0.222222222222
Ependymal	0.5	0.25	0.65625	-0.0625	0.125
Mural	0.75	0.75	0.59375	0.217406589137	0.3
Global Evaluations	0.611111111111	0.611111111111	0.611111111111	0.140451620803	0.252523254561
