 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.875	1.0	0.90625	0.719622917129	0.727272727273
S1 Pyramidal	0.75	1.0	0.90625	0.719622917129	0.727272727273
CA1 Pyramidal	0.75	0.75	0.9375	0.624758017672	0.666666666667
Oligodendrocyte	1.0	1.0	0.90625	0.719622917129	0.727272727273
Microglia	1.0	1.0	0.90625	0.719622917129	0.727272727273
Endothelial	0.875	0.875	0.921875	0.671984002786	0.7
Astrocyte	1.0	0.875	0.921875	0.671984002786	0.7
Ependymal	0.875	0.875	0.921875	0.671984002786	0.7
Mural	0.875	0.875	0.921875	0.671984002786	0.7
Global Evaluations	0.916666666667	0.916666666667	0.916666666667	0.687909521926	0.708417508418
