 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.875	1.0	0.78125	0.533001790889	0.533333333333
S1 Pyramidal	0.75	0.625	0.828125	0.342530303665	0.416666666667
CA1 Pyramidal	0.75	0.875	0.796875	0.471418685378	0.5
Oligodendrocyte	1.0	1.0	0.78125	0.533001790889	0.533333333333
Microglia	1.0	0.875	0.796875	0.471418685378	0.5
Endothelial	0.875	0.875	0.796875	0.471418685378	0.5
Astrocyte	1.0	0.75	0.8125	0.408248290464	0.461538461538
Ependymal	0.75	0.5	0.84375	0.272960416842	0.363636363636
Mural	1.0	0.75	0.8125	0.408248290464	0.461538461538
Global Evaluations	0.805555555556	0.805555555556	0.805555555556	0.434694104372	0.47444962445
