 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.875	0.625	0.671875	0.194241944776	0.294117647059
S1 Pyramidal	0.875	0.75	0.65625	0.261892463308	0.333333333333
CA1 Pyramidal	0.125	1.0	0.625	0.395284707521	0.4
Oligodendrocyte	1.0	1.0	0.625	0.395284707521	0.4
Microglia	0.375	0.375	0.703125	0.0533001790889	0.2
Endothelial	1.0	0.5	0.6875	0.125	0.25
Astrocyte	0.625	0.625	0.671875	0.194241944776	0.294117647059
Ependymal	0.625	0.5	0.6875	0.125	0.25
Mural	1.0	0.625	0.671875	0.194241944776	0.294117647059
Global Evaluations	0.666666666667	0.666666666667	0.666666666667	0.21538754353	0.30174291939
