 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.75	0.75	0.90625	0.553398590529	0.6
S1 Pyramidal	1.0	1.0	0.875	0.661437827766	0.666666666667
CA1 Pyramidal	0.625	1.0	0.875	0.661437827766	0.666666666667
Oligodendrocyte	0.875	0.875	0.890625	0.607957292057	0.636363636364
Microglia	1.0	1.0	0.875	0.661437827766	0.666666666667
Endothelial	0.625	0.625	0.921875	0.496966604966	0.555555555556
Astrocyte	0.75	1.0	0.875	0.661437827766	0.666666666667
Ependymal	0.75	0.75	0.90625	0.553398590529	0.6
Mural	0.625	1.0	0.875	0.661437827766	0.666666666667
Global Evaluations	0.888888888889	0.888888888889	0.888888888889	0.613212246324	0.636139169473
