 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.75	1.0	0.65625	0.418330013267	0.421052631579
S1 Pyramidal	0.875	0.625	0.703125	0.21875	0.3125
CA1 Pyramidal	0.5	0.875	0.671875	0.352547546761	0.388888888889
Oligodendrocyte	0.875	0.75	0.6875	0.286251287038	0.352941176471
Microglia	0.875	0.75	0.6875	0.286251287038	0.352941176471
Endothelial	1.0	0.75	0.6875	0.286251287038	0.352941176471
Astrocyte	0.5	0.375	0.734375	0.0767425766894	0.214285714286
Ependymal	0.875	0.5	0.71875	0.149240501449	0.266666666667
Mural	1.0	0.625	0.703125	0.21875	0.3125
Global Evaluations	0.694444444444	0.694444444444	0.694444444444	0.25479049992	0.330524158981
