 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.875	0.875	0.671875	0.352547546761	0.388888888889
S1 Pyramidal	-0.125	0.75	0.6875	0.286251287038	0.352941176471
CA1 Pyramidal	0.75	0.875	0.671875	0.352547546761	0.388888888889
Oligodendrocyte	1.0	0.875	0.671875	0.352547546761	0.388888888889
Microglia	1.0	0.875	0.671875	0.352547546761	0.388888888889
Endothelial	0.625	0.375	0.734375	0.0767425766894	0.214285714286
Astrocyte	0.75	0.75	0.6875	0.286251287038	0.352941176471
Ependymal	0.375	0.25	0.75	0.0	0.153846153846
Mural	0.75	0.625	0.703125	0.21875	0.3125
Global Evaluations	0.694444444444	0.694444444444	0.694444444444	0.253131704201	0.326896641848
