 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.625	0.5	0.640625	0.0912870929175	0.228571428571
S1 Pyramidal	0.125	0.625	0.625	0.160192346293	0.27027027027
CA1 Pyramidal	0.125	0.875	0.59375	0.295656197995	0.341463414634
Oligodendrocyte	0.875	1.0	0.578125	0.36351459	0.372093023256
Microglia	0.625	0.5	0.640625	0.0912870929175	0.228571428571
Endothelial	0.625	0.5	0.640625	0.0912870929175	0.228571428571
Astrocyte	0.75	0.625	0.625	0.160192346293	0.27027027027
Ependymal	0.375	0.375	0.65625	0.0206284249252	0.181818181818
Mural	0.875	0.625	0.625	0.160192346293	0.27027027027
Global Evaluations	0.625	0.625	0.625	0.159359725617	0.265766635137
