 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.75	0.5	0.578125	0.0495852189849	0.205128205128
S1 Pyramidal	0.0	1.0	0.515625	0.325221817794	0.340425531915
CA1 Pyramidal	0.5	0.75	0.546875	0.186669654324	0.279069767442
Oligodendrocyte	0.875	0.75	0.546875	0.186669654324	0.279069767442
Microglia	0.625	0.75	0.546875	0.186669654324	0.279069767442
Endothelial	1.0	0.375	0.59375	-0.0200240432866	0.162162162162
Astrocyte	0.875	0.75	0.546875	0.186669654324	0.279069767442
Ependymal	0.125	0.125	0.625	-0.165027399401	0.0606060606061
Mural	0.25	0.125	0.625	-0.165027399401	0.0606060606061
Global Evaluations	0.569444444444	0.569444444444	0.569444444444	0.0857118679985	0.216134121132
