 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.625	0.5	0.65625	0.102232602514	0.235294117647
S1 Pyramidal	-0.25	0.625	0.640625	0.171237379855	0.277777777778
CA1 Pyramidal	0.375	0.625	0.640625	0.171237379855	0.277777777778
Oligodendrocyte	0.875	1.0	0.59375	0.373772500798	0.380952380952
Microglia	0.75	0.75	0.625	0.239045721867	0.315789473684
Endothelial	0.5	0.25	0.6875	-0.0426401432711	0.133333333333
Astrocyte	0.875	0.875	0.609375	0.306345648329	0.35
Ependymal	0.625	0.625	0.640625	0.171237379855	0.277777777778
Mural	0.625	0.5	0.65625	0.102232602514	0.235294117647
Global Evaluations	0.638888888889	0.638888888889	0.638888888889	0.177189008035	0.275999639622
