 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	1.0	0.875	0.578125	0.28524743482	0.333333333333
S1 Pyramidal	0.0	0.875	0.578125	0.28524743482	0.333333333333
CA1 Pyramidal	0.875	0.75	0.59375	0.217406589137	0.3
Oligodendrocyte	1.0	0.75	0.59375	0.217406589137	0.3
Microglia	0.25	0.875	0.578125	0.28524743482	0.333333333333
Endothelial	0.25	0.25	0.65625	-0.0625	0.125
Astrocyte	0.625	0.25	0.65625	-0.0625	0.125
Ependymal	0.875	0.5	0.625	0.0805822964025	0.222222222222
Mural	0.375	0.375	0.640625	0.0102232602514	0.176470588235
Global Evaluations	0.611111111111	0.611111111111	0.611111111111	0.139595671043	0.249854756718
