 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	1.0	0.875	0.71875	0.391940073578	0.424242424242
S1 Pyramidal	0.75	0.625	0.75	0.259281489421	0.344827586207
CA1 Pyramidal	0.5	1.0	0.703125	0.456435464588	0.457142857143
Oligodendrocyte	0.875	0.875	0.71875	0.391940073578	0.424242424242
Microglia	0.875	0.625	0.75	0.259281489421	0.344827586207
Endothelial	0.75	1.0	0.703125	0.456435464588	0.457142857143
Astrocyte	0.375	1.0	0.703125	0.456435464588	0.457142857143
Ependymal	0.25	0.25	0.796875	0.0362738125055	0.173913043478
Mural	0.625	0.375	0.78125	0.115624322516	0.24
Global Evaluations	0.736111111111	0.736111111111	0.736111111111	0.313738628309	0.369275737312
