 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.75	0.625	0.6875	0.206284249252	0.30303030303
S1 Pyramidal	0.625	0.25	0.734375	-0.0111414129455	0.148148148148
CA1 Pyramidal	-0.375	1.0	0.640625	0.406598795676	0.410256410256
Oligodendrocyte	0.75	0.75	0.671875	0.273861278753	0.342857142857
Microglia	0.75	0.75	0.671875	0.273861278753	0.342857142857
Endothelial	0.5	0.5	0.703125	0.136910387858	0.258064516129
Astrocyte	0.875	1.0	0.640625	0.406598795676	0.410256410256
Ependymal	0.625	0.5	0.703125	0.136910387858	0.258064516129
Mural	0.75	0.75	0.671875	0.273861278753	0.342857142857
Global Evaluations	0.680555555556	0.680555555556	0.680555555556	0.233749448848	0.312932414725
