 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.625	1.0	0.640625	0.406598795676	0.410256410256
S1 Pyramidal	-0.5	1.0	0.640625	0.406598795676	0.410256410256
CA1 Pyramidal	1.0	0.625	0.6875	0.206284249252	0.30303030303
Oligodendrocyte	0.875	0.75	0.671875	0.273861278753	0.342857142857
Microglia	0.625	0.625	0.6875	0.206284249252	0.30303030303
Endothelial	0.75	0.5	0.703125	0.136910387858	0.258064516129
Astrocyte	0.875	0.625	0.6875	0.206284249252	0.30303030303
Ependymal	0.5	0.5	0.703125	0.136910387858	0.258064516129
Mural	0.5	0.5	0.703125	0.136910387858	0.258064516129
Global Evaluations	0.680555555556	0.680555555556	0.680555555556	0.23518253127	0.31629493565
