 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.5	0.5	0.8125	0.236227795631	0.333333333333
S1 Pyramidal	0.375	1.0	0.75	0.5	0.5
CA1 Pyramidal	0.875	0.875	0.765625	0.437061468529	0.466666666667
Oligodendrocyte	0.875	1.0	0.75	0.5	0.5
Microglia	0.875	1.0	0.75	0.5	0.5
Endothelial	0.625	0.625	0.796875	0.306186217848	0.384615384615
Astrocyte	0.375	1.0	0.75	0.5	0.5
Ependymal	0.75	0.5	0.8125	0.236227795631	0.333333333333
Mural	0.5	0.5	0.8125	0.236227795631	0.333333333333
Global Evaluations	0.777777777778	0.777777777778	0.777777777778	0.38354789703	0.42792022792
