 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.875	0.875	0.78125	0.453742606487	0.48275862069
S1 Pyramidal	0.625	0.75	0.796875	0.389949453094	0.444444444444
CA1 Pyramidal	0.75	0.625	0.8125	0.323748103044	0.4
Oligodendrocyte	0.75	1.0	0.765625	0.516046846542	0.516129032258
Microglia	0.875	0.875	0.78125	0.453742606487	0.48275862069
Endothelial	0.875	1.0	0.765625	0.516046846542	0.516129032258
Astrocyte	1.0	0.75	0.796875	0.389949453094	0.444444444444
Ependymal	0.75	0.75	0.796875	0.389949453094	0.444444444444
Mural	0.5	0.5	0.828125	0.253916687539	0.347826086957
Global Evaluations	0.791666666667	0.791666666667	0.791666666667	0.409676895102	0.453214969576
