 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	1.0	0.625	0.59375	0.138838613158	0.25641025641
S1 Pyramidal	0.125	0.75	0.578125	0.206959338596	0.292682926829
CA1 Pyramidal	0.25	0.75	0.578125	0.206959338596	0.292682926829
Oligodendrocyte	0.875	1.0	0.546875	0.343865152703	0.355555555556
Microglia	0.25	0.25	0.640625	-0.0721994872381	0.121212121212
Endothelial	0.875	0.625	0.59375	0.138838613158	0.25641025641
Astrocyte	0.875	0.75	0.578125	0.206959338596	0.292682926829
Ependymal	0.125	0.125	0.65625	-0.147441956155	0.0645161290323
Mural	0.625	0.5	0.609375	0.070084151503	0.216216216216
Global Evaluations	0.597222222222	0.597222222222	0.597222222222	0.121429233657	0.238707701703
