 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.5	0.5	0.578125	0.0495852189849	0.205128205128
S1 Pyramidal	-0.25	1.0	0.515625	0.325221817794	0.340425531915
CA1 Pyramidal	-0.5	0.875	0.53125	0.255442684865	0.311111111111
Oligodendrocyte	0.875	1.0	0.515625	0.325221817794	0.340425531915
Microglia	0.75	0.5	0.578125	0.0495852189849	0.205128205128
Endothelial	0.125	0.125	0.625	-0.165027399401	0.0606060606061
Astrocyte	0.875	0.5	0.578125	0.0495852189849	0.205128205128
Ependymal	0.625	0.375	0.59375	-0.0200240432866	0.162162162162
Mural	0.25	0.25	0.609375	-0.0912870929175	0.114285714286
Global Evaluations	0.569444444444	0.569444444444	0.569444444444	0.0864781602002	0.216044525264
