 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.75	0.875	0.703125	0.378260629301	0.411764705882
S1 Pyramidal	0.75	0.625	0.734375	0.245180823809	0.333333333333
CA1 Pyramidal	0.125	0.875	0.703125	0.378260629301	0.411764705882
Oligodendrocyte	1.0	1.0	0.6875	0.443202630214	0.444444444444
Microglia	0.75	0.75	0.71875	0.3125	0.375
Endothelial	0.875	0.75	0.71875	0.3125	0.375
Astrocyte	0.375	0.25	0.78125	0.0236227795631	0.166666666667
Ependymal	0.875	0.75	0.71875	0.3125	0.375
Mural	1.0	0.625	0.734375	0.245180823809	0.333333333333
Global Evaluations	0.722222222222	0.722222222222	0.722222222222	0.294578701777	0.358478576616
