 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.625	0.375	0.765625	0.102062072616	0.230769230769
S1 Pyramidal	0.25	0.625	0.734375	0.245180823809	0.333333333333
CA1 Pyramidal	0.125	1.0	0.6875	0.443202630214	0.444444444444
Oligodendrocyte	0.875	0.75	0.71875	0.3125	0.375
Microglia	0.875	0.875	0.703125	0.378260629301	0.411764705882
Endothelial	0.875	1.0	0.6875	0.443202630214	0.444444444444
Astrocyte	0.75	0.75	0.71875	0.3125	0.375
Ependymal	0.625	0.625	0.734375	0.245180823809	0.333333333333
Mural	0.5	0.5	0.75	0.175411603861	0.285714285714
Global Evaluations	0.722222222222	0.722222222222	0.722222222222	0.295277912647	0.35931153088
