 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.875	0.75	0.78125	0.372749658205	0.428571428571
S1 Pyramidal	0.5	0.75	0.78125	0.372749658205	0.428571428571
CA1 Pyramidal	1.0	0.75	0.78125	0.372749658205	0.428571428571
Oligodendrocyte	0.875	0.875	0.765625	0.437061468529	0.466666666667
Microglia	1.0	1.0	0.75	0.5	0.5
Endothelial	0.75	0.875	0.765625	0.437061468529	0.466666666667
Astrocyte	0.875	0.75	0.78125	0.372749658205	0.428571428571
Ependymal	0.75	0.625	0.796875	0.306186217848	0.384615384615
Mural	0.625	0.625	0.796875	0.306186217848	0.384615384615
Global Evaluations	0.777777777778	0.777777777778	0.777777777778	0.386388222842	0.435205535206
