 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.25	0.875	0.578125	0.28524743482	0.333333333333
S1 Pyramidal	0.25	0.875	0.578125	0.28524743482	0.333333333333
CA1 Pyramidal	0.875	0.25	0.65625	-0.0625	0.125
Oligodendrocyte	1.0	1.0	0.5625	0.353553390593	0.363636363636
Microglia	1.0	0.875	0.578125	0.28524743482	0.333333333333
Endothelial	0.375	0.125	0.671875	-0.138580465631	0.0666666666667
Astrocyte	0.625	0.875	0.578125	0.28524743482	0.333333333333
Ependymal	0.5	0.375	0.640625	0.0102232602514	0.176470588235
Mural	0.375	0.25	0.65625	-0.0625	0.125
Global Evaluations	0.611111111111	0.611111111111	0.611111111111	0.137909547166	0.243345216875
