 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.875	0.625	0.6875	0.206284249252	0.30303030303
S1 Pyramidal	0.875	0.625	0.6875	0.206284249252	0.30303030303
CA1 Pyramidal	0.5	1.0	0.640625	0.406598795676	0.410256410256
Oligodendrocyte	0.75	1.0	0.640625	0.406598795676	0.410256410256
Microglia	0.875	0.875	0.65625	0.340408735872	0.378378378378
Endothelial	0.375	0.375	0.71875	0.0648203723552	0.206896551724
Astrocyte	1.0	0.75	0.671875	0.273861278753	0.342857142857
Ependymal	0.75	0.375	0.71875	0.0648203723552	0.206896551724
Mural	0.75	0.5	0.703125	0.136910387858	0.258064516129
Global Evaluations	0.680555555556	0.680555555556	0.680555555556	0.234065248561	0.313296285265
