 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.0	0.42619047619	0.679635578846	0.0944108724971	0.213023088023
S1 Pyramidal	1.0	0.733333333333	0.627146307798	0.259344090876	0.321894347483
CA1 Pyramidal	0.0	0.523333333333	0.654767053066	0.140201893854	0.243975468975
Oligodendrocyte	0.666666666667	0.875	0.613669608805	0.349581522868	0.37329004329
Microglia	0.666666666667	0.716666666667	0.649587141445	0.214802812622	0.287186147186
Endothelial	1.0	0.533333333333	0.661034404192	0.131052611548	0.247575757576
Astrocyte	0.0	0.618333333333	0.662460969618	0.204023463031	0.276703574204
Ependymal	0.5	0.420238095238	0.679683697881	0.0576742764132	0.189126984127
Mural	0.666666666667	0.658333333333	0.649784688995	0.199831644757	0.281038961039
Global Evaluations	0.652979066023	0.61164021164	0.653085494516	0.18343590983	0.2704238191
