 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.666666666667	0.51	0.657759112868	0.122116184567	0.235471195471
S1 Pyramidal	1.0	0.83	0.611887805812	0.300188601004	0.331780032833
CA1 Pyramidal	0.666666666667	0.463333333333	0.652379227053	0.122400230266	0.237924297924
Oligodendrocyte	1.0	0.966666666667	0.597770258981	0.349237882903	0.366842879343
Microglia	0.0	0.56	0.655222146275	0.131159395276	0.235096015096
Endothelial	0.0	0.591666666667	0.641910913648	0.148494102239	0.255791708292
Astrocyte	0.5	0.743333333333	0.634880952381	0.228949785967	0.302570762571
Ependymal	0.0	0.251666666667	0.682765246449	-0.0197175529916	0.144126984127
Mural	0.666666666667	0.631666666667	0.626987968807	0.207790877747	0.291823780794
Global Evaluations	0.639935587762	0.616481481481	0.640173736919	0.176735500775	0.266825295161
