 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	1.0	0.768333333333	0.708714969241	0.281497982815	0.33815961816
S1 Pyramidal	0.0	0.68	0.707007101086	0.268631025881	0.326088911089
CA1 Pyramidal	0.666666666667	0.78	0.697395255816	0.33080713838	0.358904428904
Oligodendrocyte	1.0	0.833333333333	0.678669553738	0.349847355555	0.379819069819
Microglia	1.0	0.625	0.713627162311	0.25197561931	0.337466977467
Endothelial	-1.0	0.766666666667	0.708180544945	0.295462555242	0.347278962867
Astrocyte	0.5	0.64	0.723128275234	0.245522384579	0.320909090909
Ependymal	1.0	0.361666666667	0.748336079126	0.0830619362513	0.210952380952
Mural	1.0	0.751666666667	0.697288923891	0.320207585823	0.366096126096
Global Evaluations	0.70885668277	0.68962962963	0.709149762821	0.269668175982	0.331741729585
