 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.0	0.686666666667	0.766179472701	0.309810060027	0.362896825397
S1 Pyramidal	0.666666666667	0.796666666667	0.77008336009	0.419320854719	0.436112776113
CA1 Pyramidal	1.0	0.808333333333	0.776463317384	0.377334563534	0.419725829726
Oligodendrocyte	1.0	0.841666666667	0.757555217475	0.458706221038	0.475815295815
Microglia	1.0	0.925	0.760555702206	0.449236626226	0.457274392274
Endothelial	0.666666666667	0.796666666667	0.775888294712	0.398696176391	0.436141636142
Astrocyte	1.0	0.819047619048	0.767922077922	0.384995594981	0.418048552754
Ependymal	1.0	0.46	0.81012987013	0.228669851583	0.318253968254
Mural	0.0	0.765	0.773191047447	0.35565509562	0.400202020202
Global Evaluations	0.772785829308	0.766560846561	0.773107595563	0.375825004902	0.413830144075
