 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.0	0.7	0.625793347004	0.25060705487	0.324238261738
S1 Pyramidal	0.0	0.466666666667	0.664424499985	0.10599006218	0.235163170163
CA1 Pyramidal	0.5	0.5	0.672841614907	0.108970188919	0.216142191142
Oligodendrocyte	0.666666666667	0.84	0.634747050335	0.253130822197	0.304129497953
Microglia	0.0	0.676666666667	0.642329767106	0.210811210854	0.291510123863
Endothelial	1.0	0.666666666667	0.644329004329	0.205130081072	0.293688533689
Astrocyte	0.8	0.788333333333	0.633871800714	0.258307975128	0.317914634385
Ependymal	0.5	0.425	0.680007776358	0.0678265871846	0.191753246753
Mural	1.0	0.76	0.646471861472	0.24512059916	0.309073149073
Global Evaluations	0.649275362319	0.647037037037	0.649424080245	0.189543842396	0.275956978751
