 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.666666666667	0.916666666667	0.81125	0.509125714356	0.512908496732
S1 Pyramidal	0.0	0.678333333333	0.844773868135	0.38815032627	0.419949494949
CA1 Pyramidal	1.0	0.741666666667	0.83524606972	0.428965704012	0.46683982684
Oligodendrocyte	1.0	0.975	0.803853269537	0.525891849238	0.522449494949
Microglia	1.0	0.891666666667	0.810542074884	0.498732446518	0.522633053221
Endothelial	1.0	0.85	0.816922922279	0.488702495583	0.509065934066
Astrocyte	1.0	0.941666666667	0.811287175157	0.511802964285	0.504696969697
Ependymal	-1	0.641666666667	0.835716894344	0.363494698375	0.417316017316
Mural	0.75	0.71	0.835311095591	0.422467354513	0.450173160173
Global Evaluations	0.822544283414	0.816296296296	0.822767041072	0.459703728128	0.480670271994
