 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.0	0.666666666667	0.69228627719	0.227973053679	0.306517697988
S1 Pyramidal	-1.0	0.575	0.711875538649	0.188203110679	0.277388167388
CA1 Pyramidal	1.0	0.715	0.689450140503	0.273795660613	0.328037518038
Oligodendrocyte	1.0	0.88	0.670955874535	0.361134079585	0.383070818071
Microglia	0.666666666667	0.513333333333	0.705838276529	0.169369939145	0.268053613054
Endothelial	-1.0	0.533333333333	0.716376479446	0.168709762624	0.258975468975
Astrocyte	0.857142857143	0.565714285714	0.69229152744	0.208563011942	0.28046110752
Ependymal	0.0	0.566666666667	0.714200956938	0.162931400362	0.253571428571
Mural	1.0	0.916666666667	0.67478810663	0.368414912464	0.387793317793
Global Evaluations	0.696457326892	0.659153439153	0.696451464207	0.236566103455	0.3048743486
