 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	1.0	0.808333333333	0.795080884028	0.420320416955	0.45524031524
S1 Pyramidal	1.0	0.825	0.778517925248	0.46095707637	0.480839160839
CA1 Pyramidal	2.0	0.6	0.799078674948	0.363395607818	0.426031746032
Oligodendrocyte	0.666666666667	0.78	0.780181504486	0.456203050046	0.492424242424
Microglia	1.0	0.705	0.779127941725	0.405864025868	0.445840825841
Endothelial	0.666666666667	0.78	0.780042241638	0.448823428768	0.486838307891
Astrocyte	0.5	0.905	0.782601112338	0.501582164364	0.517973137973
Ependymal	1.0	0.393333333333	0.836345598846	0.228233564111	0.328571428571
Mural	0.5	0.825	0.79204887218	0.433099533524	0.462068633121
Global Evaluations	0.791465378422	0.735740740741	0.791447195049	0.413164318647	0.455091977548
