 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.0	0.63	0.727054834055	0.216928945845	0.29378010878
S1 Pyramidal	0.666666666667	0.738333333333	0.710122341427	0.274294117192	0.326147186147
CA1 Pyramidal	1.0	0.733333333333	0.702958687115	0.303943818403	0.34863997114
Oligodendrocyte	0.0	0.966666666667	0.676307131465	0.408584049695	0.419743589744
Microglia	1.0	0.785	0.69769188452	0.324090858348	0.362004662005
Endothelial	1.0	0.763333333333	0.707545864195	0.314586748582	0.340245310245
Astrocyte	0.6	0.706666666667	0.712523809524	0.265496059759	0.330064380064
Ependymal	0.666666666667	0.383333333333	0.740403528584	0.128866147709	0.249783549784
Mural	0.666666666667	0.715	0.715064631275	0.263079590589	0.334018204018
Global Evaluations	0.709500805153	0.713518518519	0.709963634685	0.27776337068	0.333825217992
