 	Accuracy	Sensitivity	Specificity	MCC	F1
Interneuron	0.5	0.735714285714	0.719373959374	0.300685839408	0.351078855785
S1 Pyramidal	0.666666666667	0.516666666667	0.741452891121	0.193506715035	0.280647653001
CA1 Pyramidal	1.0	0.746666666667	0.703425606938	0.344980243643	0.388549228549
Oligodendrocyte	-1	0.646666666667	0.717977775466	0.277489923274	0.339911722265
Microglia	0.75	0.588333333333	0.733656299841	0.224732711894	0.302866577867
Endothelial	0.5	0.675	0.723566747897	0.277781407876	0.331181563535
Astrocyte	0.333333333333	0.615	0.72036439914	0.243849499989	0.307104529457
Ependymal	0.666666666667	0.666666666667	0.744225235549	0.24811249508	0.311178266178
Mural	0.0	0.816666666667	0.715185463659	0.349647015099	0.394141414141
Global Evaluations	0.724476650564	0.667486772487	0.724358708776	0.273420650144	0.334073312309
